AU,Yieldscode,THLB,LDSPP,SPCode,Wdks,X0,X10,X20,X30,X40,X50,X60,X70,X80,X90,X100,X110,X120,X130,X140,X150,X160,X170,X180,X190,X200,X210,X220,X230,X240,X250,X260,X270,X280,X290,X300,X310,X320,X330,X340,X350,canfi_species,curve_id
170,*Y,?,Amabilis fir,AFVOL,1,0.0,0.0,0.0,0.1,1.4,11.9,40.6,89.4,151.8,218.1,284.5,349.4,409.3,464.3,514.5,557.0,589.0,611.4,627.2,638.6,647.1,651.2,652.8,654.3,655.6,656.9,658.1,659.1,660.1,661.1,662.0,662.6,662.9,662.8,662.6,662.5,301.0,170
201,*Y,?,Western hemlock,WHVOL,1,0.0,0.0,0.0,0.0,5.1,24.9,57.8,100.3,149.4,201.5,254.0,304.8,352.4,396.7,437.3,471.9,498.0,516.6,530.0,539.9,546.8,549.6,550.6,551.5,552.3,553.1,553.7,554.3,554.7,555.2,555.5,555.7,555.5,555.1,554.8,554.6,402.0,201
514,*Y,?,Amabilis fir,AFVOL,1,0.0,0.2,0.3,0.4,0.7,3.6,20.6,56.6,110.7,167.0,224.3,280.1,332.5,381.1,425.8,464.8,495.1,516.7,531.6,542.3,549.9,554.7,556.0,557.4,558.5,559.6,560.6,561.6,562.5,563.3,564.1,564.8,565.3,565.4,565.3,565.2,301.0,514
536,*Y,?,Mountain hemlock,MHVOL,1,0.0,0.0,0.0,0.0,0.1,0.4,2.0,6.7,17.0,36.9,67.2,106.0,151.8,202.7,256.6,306.2,345.2,373.6,394.2,408.8,419.3,422.3,422.8,423.3,423.6,423.9,424.1,424.3,424.3,424.4,425.6,425.2,425.2,424.9,424.5,424.1,403.0,536
548,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.4,2.1,9.0,19.0,41.6,72.2,111.6,154.1,197.6,240.6,282.1,321.0,353.4,376.5,391.8,402.1,408.8,412.9,412.3,410.8,409.4,408.0,406.7,405.0,403.5,402.0,400.7,399.4,398.2,397.7,397.5,397.3,397.1,100.0,548
515,*Y,?,Amabilis fir,AFVOL,1,0.0,0.2,0.4,1.4,17.9,78.5,182.8,311.8,441.3,557.7,661.8,754.4,836.8,908.1,967.9,1016.1,1051.1,1072.5,1085.7,1095.1,1102.1,1107.3,1108.7,1110.5,1112.1,1113.6,1115.0,1116.3,1117.5,1118.6,1119.6,1120.5,1121.3,1121.3,1121.2,1121.1,301.0,515
505,*Y,?,Poplar,POVOL,1,0.0,0.0,1.7,18.7,49.5,92.1,134.7,187.6,234.1,276.7,315.1,349.3,378.8,403.5,426.9,444.4,457.3,465.6,471.5,475.9,479.1,480.7,481.0,481.3,481.5,481.8,481.9,482.1,482.2,482.1,481.8,481.7,481.6,481.6,481.5,481.4,1200.0,505
509,*Y,?,Aspen,AAVOL,1,0.0,0.0,0.0,0.1,2.1,6.9,14.4,22.0,32.0,41.9,52.2,61.8,70.5,78.1,84.5,89.1,92.8,95.3,97.2,98.5,99.4,99.4,99.2,99.1,99.0,98.8,98.7,98.6,98.4,98.3,98.3,98.1,98.0,97.9,97.8,97.7,1211.0,509
509,*Y,?,Cottonwood,BCVOL,1,0.0,0.0,0.0,0.1,2.1,6.9,14.4,22.0,32.0,41.9,52.2,61.8,70.5,78.1,84.5,89.1,92.8,95.3,97.2,98.5,99.4,99.4,99.2,99.1,99.0,98.8,98.7,98.6,98.4,98.3,98.3,98.1,98.0,97.9,97.8,97.7,1205.0,509
546,*Y,?,Lodgepole pine,LPVOL,1,0.0,0.0,0.0,0.0,0.8,8.1,23.4,46.0,71.2,96.6,120.6,144.8,166.1,185.6,202.7,215.4,223.9,230.1,234.1,236.7,238.2,238.7,238.3,237.8,237.3,236.9,236.4,236.1,235.7,235.3,234.9,234.5,234.4,234.3,234.3,234.3,204.0,546
265,*Y,?,Subalpine fir,SFVOL,1,0.0,0.0,0.0,0.0,0.1,0.8,3.7,10.2,20.7,35.3,53.6,74.8,98.3,122.8,147.2,170.0,188.3,201.2,210.0,215.8,219.4,221.1,221.3,221.5,221.8,222.0,222.1,222.2,222.3,222.5,222.6,222.8,222.9,222.9,222.8,222.7,304.0,265
1085,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.6,1.3,2.7,6.0,12.1,20.2,28.3,35.4,41.2,45.6,48.6,48.4,48.4,48.3,52.4,53.4,53.5,53.6,53.9,55.3,58.9,58.9,59.1,59.1,59.0,100.0,1085
306,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.0,0.6,3.6,11.6,25.8,46.0,71.3,100.0,130.5,161.8,192.8,221.3,243.8,259.4,269.9,276.7,280.8,282.1,281.0,280.1,279.2,278.4,277.6,276.8,276.0,275.3,274.7,274.2,273.6,273.3,273.1,273.0,100.0,306
267,*Y,?,Subalpine fir,SFVOL,1,0.0,0.0,0.0,27.8,94.0,190.3,289.1,374.9,445.3,499.5,544.3,582.1,612.6,636.5,654.9,667.8,676.3,681.5,685.4,688.6,691.6,693.7,695.3,696.9,698.4,699.9,701.3,702.6,703.9,705.2,706.4,707.5,706.2,705.1,704.2,703.5,304.0,267
256,*Y,?,Aspen,AAVOL,1,0.0,0.0,0.0,0.2,2.1,9.6,24.0,43.9,67.5,92.1,116.2,138.7,159.2,177.3,193.5,207.3,218.5,226.9,233.2,238.0,241.8,244.3,245.4,246.5,247.4,248.2,249.0,249.7,250.4,251.0,251.5,252.0,252.1,252.1,252.1,252.1,1211.0,256
298,*Y,?,Lodgepole pine,LPVOL,1,0.0,0.0,0.0,0.1,1.7,8.7,23.0,42.9,65.4,88.4,110.2,130.2,148.3,164.9,180.0,193.4,204.7,213.2,219.6,224.3,227.7,229.9,230.8,231.5,232.2,232.9,233.5,234.0,234.6,235.1,235.5,235.9,236.2,236.2,236.2,236.1,204.0,298
698,*Y,?,Subalpine fir,SFVOL,1,0.0,0.0,0.0,0.0,0.1,1.3,7.4,22.0,44.7,73.2,104.9,137.6,169.7,200.0,227.6,251.7,269.6,281.1,287.9,291.8,293.6,294.1,293.0,292.1,291.4,290.6,289.9,289.3,288.7,288.1,287.6,287.1,286.6,286.4,286.2,286.2,304.0,698
733,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.2,1.3,6.6,19.4,39.9,66.8,97.8,130.9,164.1,196.1,226.4,253.6,274.3,287.7,295.7,299.9,301.4,300.9,298.6,296.4,294.6,292.8,291.2,289.7,288.3,287.0,285.7,284.5,283.5,282.9,282.9,282.8,100.0,733
54,*Y,?,Aspen,AAVOL,1,0.0,0.0,0.0,0.0,2.1,11.9,31.3,57.9,88.3,118.9,148.0,175.0,199.3,220.2,237.9,252.0,261.9,267.7,271.4,273.6,274.8,275.2,274.0,272.7,271.5,270.2,269.0,267.7,266.5,265.4,264.2,263.1,262.7,262.7,262.7,262.7,1211.0,54
60,*Y,?,Subalpine fir,SFVOL,1,0.0,0.0,0.0,0.0,0.3,2.0,8.4,21.4,41.1,66.4,95.1,125.9,156.9,186.4,212.8,234.8,250.7,260.5,266.0,269.1,270.6,270.2,269.0,268.0,267.0,266.1,265.2,264.4,263.5,262.7,261.9,261.2,260.5,260.3,260.2,260.2,304.0,60
767,*Y,?,Lodgepole pine,LPVOL,1,0.0,0.0,0.0,0.0,0.4,3.6,12.6,26.6,44.1,63.0,81.6,99.1,115.3,129.6,141.5,150.8,157.6,161.7,164.2,165.7,166.6,166.8,166.4,165.9,165.5,165.0,164.5,164.0,163.6,163.1,162.6,162.2,161.9,161.9,161.9,161.9,204.0,767
78,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.0,0.2,1.7,7.2,18.0,33.8,53.7,76.0,100.1,124.9,149.5,172.2,189.9,201.8,209.3,213.8,216.1,215.4,213.1,211.0,209.2,207.5,205.9,204.3,202.9,201.5,200.2,198.9,197.8,197.1,197.0,197.0,100.0,78
762,*Y,?,Subalpine fir,SFVOL,1,0.0,0.0,0.0,0.0,5.3,35.6,85.0,145.2,207.3,265.8,318.1,363.6,401.5,430.2,450.2,462.3,467.8,468.7,467.9,466.8,465.9,463.9,462.4,461.0,459.7,458.4,457.1,455.8,454.6,453.3,452.1,450.9,450.4,450.4,450.4,450.3,304.0,762
74,*Y,?,Lodgepole pine,LPVOL,1,0.0,0.0,0.0,0.0,0.7,6.8,22.3,44.5,70.0,95.7,120.0,142.1,161.8,178.7,192.6,203.3,210.7,214.9,217.2,218.2,218.6,218.2,216.9,215.6,214.3,213.0,211.8,210.6,209.4,208.2,207.1,206.0,205.3,205.3,205.3,205.3,204.0,74
1203,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1.1,2.6,4.5,7.2,10.2,12.8,14.9,15.7,15.5,15.4,15.3,15.3,15.3,15.3,15.3,15.4,15.7,16.9,16.9,16.9,16.9,16.9,100.0,1203
728,*Y,?,Lodgepole pine,LPVOL,1,0.0,0.0,0.0,2.4,19.6,59.4,110.4,161.0,205.9,244.0,276.0,302.8,325.3,344.3,360.2,373.0,382.4,388.8,392.9,395.5,397.2,398.0,397.6,397.3,396.8,396.4,395.9,395.4,394.9,394.4,394.0,393.5,393.3,393.3,393.3,393.2,204.0,728
1191,*Y,?,Lodgepole pine,LPVOL,1,0.0,0.0,0.0,0.0,0.1,0.3,0.8,1.7,2.8,4.2,5.6,7.4,9.5,12.0,16.4,20.0,23.2,25.8,27.7,29.3,30.4,30.8,31.0,31.1,31.2,31.4,31.5,31.6,31.8,31.9,32.0,32.1,32.2,32.2,32.2,32.2,204.0,1191
124,*Y,?,Balsam fir,BFVOL,1,0.0,0.0,0.0,0.0,0.0,0.5,4.0,13.8,33.2,56.7,83.4,111.8,140.3,168.3,195.1,219.8,239.9,254.6,264.8,272.4,278.0,282.1,283.6,285.0,286.8,288.0,289.1,290.1,290.9,291.7,292.7,293.4,294.0,294.2,294.1,294.0,302.0,124
689,*Y,?,Aspen,AAVOL,1,0.0,0.0,0.0,0.7,5.4,18.8,40.0,66.9,96.6,126.7,155.4,182.1,206.0,226.7,244.2,258.7,269.6,277.2,282.7,286.7,289.7,291.7,292.3,292.8,293.2,293.6,294.0,294.3,294.6,294.9,295.2,295.3,295.3,295.3,295.3,295.3,1211.0,689
61,*Y,?,Subalpine fir,SFVOL,1,0.0,0.0,0.0,1.1,9.4,39.5,90.0,151.9,215.9,276.1,330.0,376.7,413.4,440.5,461.6,474.7,481.2,482.8,482.5,481.4,480.5,478.5,476.6,474.9,473.2,471.6,470.0,468.4,466.9,465.4,463.9,462.5,461.8,461.7,461.7,461.7,304.0,61
81,*Y,?,Black spruce,BSVOL,1,0.0,0.0,0.0,0.0,0.0,0.1,1.1,4.1,10.6,19.6,31.9,46.0,62.0,79.0,96.5,114.0,128.9,139.4,146.0,150.2,152.9,154.6,153.8,153.2,152.7,152.2,151.7,151.2,150.7,150.2,149.8,149.3,148.9,148.6,148.6,148.6,101.0,81
756,*Y,?,Aspen,AAVOL,1,0.0,0.0,0.0,0.0,0.5,5.3,16.8,34.6,56.1,79.4,102.6,125.1,145.9,164.2,179.5,191.9,200.2,205.4,208.8,211.1,212.7,213.5,213.1,212.7,212.3,211.8,211.3,210.8,210.3,209.8,209.2,208.7,208.5,208.5,208.5,208.5,1211.0,756
79,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.6,6.5,30.6,74.1,130.2,189.4,245.0,294.4,336.9,373.2,403.0,426.6,442.1,450.1,452.7,452.5,450.5,447.2,441.5,436.3,431.4,426.7,422.2,417.9,413.8,409.9,406.1,402.5,399.2,397.9,397.9,397.8,100.0,79
1026,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.5,1.0,2.1,3.4,4.9,5.9,6.5,7.0,7.2,7.2,7.2,7.2,7.2,7.3,7.4,7.4,7.4,7.5,7.6,7.6,7.6,7.6,7.6,100.0,1026
